Table,Column,Match
,PHASE_ENTRY_DATE,-[fibo:hasStage]-> (fibo:LoanPhase) -[fibo:hasObservedDateTime]-> (fibo:CombinedDateTime) -[fibo:hasDateTimeValue]-> (VALUE)
,SETTLE_ISWRITEOFF,-[efs:hasSettlementTerms]-> (fibo:SettlementTerms) -[fibo:isMandatedBy]-> (fibo:Contract) -[fibo:isEvidencedBy]-> (fibo:ContractDocument) -[efs:has_settle_iswriteoff_VALUE]-> (VALUE)
,TIMES_IN_COLLECTION,-[fibo:isPartOf]-> (fibo:Constituent) -[fibo:hasDuration]-> (fibo:Duration) -[efs:has_times_in_collection_VALUE]-> (VALUE)
,EXPIRY_DATE,-[fibo:hasExpirationDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,NO_VALID_PHONE,-[efs:hasLegallyCompetentNaturalPerson]-> (fibo:LegallyCompetentNaturalPerson) -[fibo:hasTelephoneNumber]-> (fibo:TelephoneNumber) -[efs:has_no_valid_phone_VALUE]-> (VALUE)
,TOTAL_BALANCE,-[fibo:appliesToAccount]-> (fibo:Account) -[fibo:hasBalance]-> (fibo:Balance) -[fibo:hasAmount]-> (VALUE)
,DAYS_IN_COLLECTION,-[fibo:isPartOf]-> (fibo:Constituent) -[fibo:hasDuration]-> (fibo:Duration) -[fibo:hasDurationValue]-> (VALUE)
,CONTRACT_DATE,-[efs:hasContract]-> (fibo:Contract) -[fibo:hasEffectiveDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,LAST_SETT_STATUS_ID,-[fibo:hasOccurrence]-> (fibo:SettlementEvent) -[efs:has_last_sett_status_id_VALUE]-> (VALUE)
,LAST_BILLING_DATE,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,DAYS_IN_HANDLING_QUEUE,-[fibo:isPartOf]-> (fibo:Constituent) -[fibo:hasDuration]-> (fibo:Duration) -[fibo:hasDurationValue]-> (VALUE)
,PAST_DUE_AMOUNT,-[efs:hasLegallyCompetentNaturalPerson]-> (fibo:LegallyCompetentNaturalPerson) -[fibo:hasResponsibility]-> (fibo:PaymentObligation) -[fibo:hasOutstandingAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,STRATEGY_SEGMENT_ID,-[fibo:hasStrategy]-> (fibo:Strategy) -[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,CASE_TYPE_ID,-[efs:has_case_type_id_VALUE]-> (VALUE)
,DAYS_FROM_LAST_PAY,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasIndividualPayment]-> (fibo:IndividualPaymentTransaction) -[fibo:hasTransactionDate]-> (fibo:TransactionDate) -[efs:has_days_from_last_pay_VALUE]-> (VALUE)
,PORTFOLIO_CODE,-[fibo:hasRecord]-> (fibo:Record) -[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,LAST_SETTLE_DATE,-[fibo:hasOccurrence]-> (fibo:SettlementEvent) -[fibo:hasEventDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,BALANCE_LIMIT,-[fibo:appliesToAccount]-> (fibo:Account) -[fibo:hasBalance]-> (fibo:Balance) -[fibo:hasAmount]-> (VALUE)
,CURRENT_BRANCH_ID,-[efs:has_current_branch_id]-> (fibo:Branch) -[efs:has_current_branch_id_VALUE]-> (VALUE)
,DAYS_PAST_DUE,-[efs:hasLegallyCompetentNaturalPerson]-> (fibo:LegallyCompetentNaturalPerson) -[fibo:hasResponsibility]-> (fibo:PaymentObligation) -[fibo:hasPaymentDueDate]-> (fibo:PaymentDueDate) -[efs:has_days_past_due_VALUE]-> (VALUE)
,TOTAL_OUTSTANDING,-[fibo:hasOutstandingAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,ACCOUNT_STATUS,-[fibo:appliesToAccount]-> (fibo:Account) -[fibo:hasStage]-> (fibo:ProductLifecycleStage) -[efs:has_account_status_VALUE]-> (VALUE)
,NO_VALID_ADDRESS,-[efs:hasLegallyCompetentNaturalPerson]-> (fibo:LegallyCompetentNaturalPerson) -[fibo:hasAddress]-> (fibo:ConventionalStreetAddress) -[efs:has_no_valid_address_VALUE]-> (VALUE)
